publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,principal_offence_id,jurisdiction_id,court_level_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_principal_offence,raw_jurisdiction,raw_court_level,raw_classification_context
2024-06-30,2023-06-30,CHAR_GUILTY_PLEA_BY_DEFENDANT,GROUP_METHOD_OF_FINALISATION,2023-06-30,OFFENCE_TOTAL,TAS,MAGISTRATES_COURTS,ANZSOC_2011,defendant-count,person,6877,observed,6877,sha256:b4b17c474bd69011e360b33c1312c8c85c677e0a5117e74097150beab40cd0a6,Table 50,R33C14,sha256:01ffdc170e886151057f4186b6eb92cd896703fa1679bf214cbada10286cfbc8,criminal-courts-australia,sha256:cce561be870d16f467eeb74be5cbcd192c71cde4b62bcac587b4f9480197a171,tidy.table-family-acceptance/v2,sha256:31bb6141d2b8451376926cbf42b45f256cb4185038fa44b61b624601e9d407ae,sha256:32c712f66dbbe5ed805610eb84ebfd0c62d011285bccbfd3a00539ea67cbeaeb,sha256:a5934aaafcb4593f326a0a3505cebd4ae6067fd704754a94a2ba9252b824c8dc,human-authored/deterministic-map-v1,replay:sha256:351ad45ce868981e04839e47ec2604b742bf3d2f1f0943a90d38f04f56cd6fee,   Guilty plea by defendant,Method of finalisation,2022–23,Total(b),"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_INTENSIVE_PENALTY_IN_THE_COMMUNITY,GROUP_PRINCIPAL_SENTENCE,2023-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,TAS,MAGISTRATES_COURTS,ANZSOC_2011,defendant-count,person,9,observed,9,sha256:b4b17c474bd69011e360b33c1312c8c85c677e0a5117e74097150beab40cd0a6,Table 50,R42C2,sha256:01ffdc170e886151057f4186b6eb92cd896703fa1679bf214cbada10286cfbc8,criminal-courts-australia,sha256:cce561be870d16f467eeb74be5cbcd192c71cde4b62bcac587b4f9480197a171,tidy.table-family-acceptance/v2,sha256:31bb6141d2b8451376926cbf42b45f256cb4185038fa44b61b624601e9d407ae,sha256:32c712f66dbbe5ed805610eb84ebfd0c62d011285bccbfd3a00539ea67cbeaeb,sha256:a5934aaafcb4593f326a0a3505cebd4ae6067fd704754a94a2ba9252b824c8dc,human-authored/deterministic-map-v1,replay:sha256:351ad45ce868981e04839e47ec2604b742bf3d2f1f0943a90d38f04f56cd6fee,Intensive penalty in the community,Principal sentence,2022–23,02 Acts intended to cause injury,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_INTENSIVE_PENALTY_IN_THE_COMMUNITY,GROUP_PRINCIPAL_SENTENCE,2023-06-30,OFFENCE_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,TAS,MAGISTRATES_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:b4b17c474bd69011e360b33c1312c8c85c677e0a5117e74097150beab40cd0a6,Table 50,R42C3,sha256:01ffdc170e886151057f4186b6eb92cd896703fa1679bf214cbada10286cfbc8,criminal-courts-australia,sha256:cce561be870d16f467eeb74be5cbcd192c71cde4b62bcac587b4f9480197a171,tidy.table-family-acceptance/v2,sha256:31bb6141d2b8451376926cbf42b45f256cb4185038fa44b61b624601e9d407ae,sha256:32c712f66dbbe5ed805610eb84ebfd0c62d011285bccbfd3a00539ea67cbeaeb,sha256:a5934aaafcb4593f326a0a3505cebd4ae6067fd704754a94a2ba9252b824c8dc,human-authored/deterministic-map-v1,replay:sha256:351ad45ce868981e04839e47ec2604b742bf3d2f1f0943a90d38f04f56cd6fee,Intensive penalty in the community,Principal sentence,2022–23,03 Sexual assault & related offences,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_INTENSIVE_PENALTY_IN_THE_COMMUNITY,GROUP_PRINCIPAL_SENTENCE,2023-06-30,OFFENCE_04_DANGEROUS_NEGLIGENT_ACTS,TAS,MAGISTRATES_COURTS,ANZSOC_2011,defendant-count,person,3,observed,3,sha256:b4b17c474bd69011e360b33c1312c8c85c677e0a5117e74097150beab40cd0a6,Table 50,R42C4,sha256:01ffdc170e886151057f4186b6eb92cd896703fa1679bf214cbada10286cfbc8,criminal-courts-australia,sha256:cce561be870d16f467eeb74be5cbcd192c71cde4b62bcac587b4f9480197a171,tidy.table-family-acceptance/v2,sha256:31bb6141d2b8451376926cbf42b45f256cb4185038fa44b61b624601e9d407ae,sha256:32c712f66dbbe5ed805610eb84ebfd0c62d011285bccbfd3a00539ea67cbeaeb,sha256:a5934aaafcb4593f326a0a3505cebd4ae6067fd704754a94a2ba9252b824c8dc,human-authored/deterministic-map-v1,replay:sha256:351ad45ce868981e04839e47ec2604b742bf3d2f1f0943a90d38f04f56cd6fee,Intensive penalty in the community,Principal sentence,2022–23,04 Dangerous/ negligent acts,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_INTENSIVE_PENALTY_IN_THE_COMMUNITY,GROUP_PRINCIPAL_SENTENCE,2023-06-30,OFFENCE_07_UNLAWFUL_ENTRY_WITH_INTENT,TAS,MAGISTRATES_COURTS,ANZSOC_2011,defendant-count,person,4,observed,4,sha256:b4b17c474bd69011e360b33c1312c8c85c677e0a5117e74097150beab40cd0a6,Table 50,R42C5,sha256:01ffdc170e886151057f4186b6eb92cd896703fa1679bf214cbada10286cfbc8,criminal-courts-australia,sha256:cce561be870d16f467eeb74be5cbcd192c71cde4b62bcac587b4f9480197a171,tidy.table-family-acceptance/v2,sha256:31bb6141d2b8451376926cbf42b45f256cb4185038fa44b61b624601e9d407ae,sha256:32c712f66dbbe5ed805610eb84ebfd0c62d011285bccbfd3a00539ea67cbeaeb,sha256:a5934aaafcb4593f326a0a3505cebd4ae6067fd704754a94a2ba9252b824c8dc,human-authored/deterministic-map-v1,replay:sha256:351ad45ce868981e04839e47ec2604b742bf3d2f1f0943a90d38f04f56cd6fee,Intensive penalty in the community,Principal sentence,2022–23,07 Unlawful entry with intent,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_INTENSIVE_PENALTY_IN_THE_COMMUNITY,GROUP_PRINCIPAL_SENTENCE,2023-06-30,OFFENCE_08_THEFT,TAS,MAGISTRATES_COURTS,ANZSOC_2011,defendant-count,person,7,observed,7,sha256:b4b17c474bd69011e360b33c1312c8c85c677e0a5117e74097150beab40cd0a6,Table 50,R42C6,sha256:01ffdc170e886151057f4186b6eb92cd896703fa1679bf214cbada10286cfbc8,criminal-courts-australia,sha256:cce561be870d16f467eeb74be5cbcd192c71cde4b62bcac587b4f9480197a171,tidy.table-family-acceptance/v2,sha256:31bb6141d2b8451376926cbf42b45f256cb4185038fa44b61b624601e9d407ae,sha256:32c712f66dbbe5ed805610eb84ebfd0c62d011285bccbfd3a00539ea67cbeaeb,sha256:a5934aaafcb4593f326a0a3505cebd4ae6067fd704754a94a2ba9252b824c8dc,human-authored/deterministic-map-v1,replay:sha256:351ad45ce868981e04839e47ec2604b742bf3d2f1f0943a90d38f04f56cd6fee,Intensive penalty in the community,Principal sentence,2022–23,08 Theft,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_INTENSIVE_PENALTY_IN_THE_COMMUNITY,GROUP_PRINCIPAL_SENTENCE,2023-06-30,OFFENCE_09_FRAUD_DECEPTION,TAS,MAGISTRATES_COURTS,ANZSOC_2011,defendant-count,person,9,observed,9,sha256:b4b17c474bd69011e360b33c1312c8c85c677e0a5117e74097150beab40cd0a6,Table 50,R42C7,sha256:01ffdc170e886151057f4186b6eb92cd896703fa1679bf214cbada10286cfbc8,criminal-courts-australia,sha256:cce561be870d16f467eeb74be5cbcd192c71cde4b62bcac587b4f9480197a171,tidy.table-family-acceptance/v2,sha256:31bb6141d2b8451376926cbf42b45f256cb4185038fa44b61b624601e9d407ae,sha256:32c712f66dbbe5ed805610eb84ebfd0c62d011285bccbfd3a00539ea67cbeaeb,sha256:a5934aaafcb4593f326a0a3505cebd4ae6067fd704754a94a2ba9252b824c8dc,human-authored/deterministic-map-v1,replay:sha256:351ad45ce868981e04839e47ec2604b742bf3d2f1f0943a90d38f04f56cd6fee,Intensive penalty in the community,Principal sentence,2022–23,09 Fraud/ deception,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_INTENSIVE_PENALTY_IN_THE_COMMUNITY,GROUP_PRINCIPAL_SENTENCE,2023-06-30,OFFENCE_10_ILLICIT_DRUG_OFFENCES,TAS,MAGISTRATES_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:b4b17c474bd69011e360b33c1312c8c85c677e0a5117e74097150beab40cd0a6,Table 50,R42C8,sha256:01ffdc170e886151057f4186b6eb92cd896703fa1679bf214cbada10286cfbc8,criminal-courts-australia,sha256:cce561be870d16f467eeb74be5cbcd192c71cde4b62bcac587b4f9480197a171,tidy.table-family-acceptance/v2,sha256:31bb6141d2b8451376926cbf42b45f256cb4185038fa44b61b624601e9d407ae,sha256:32c712f66dbbe5ed805610eb84ebfd0c62d011285bccbfd3a00539ea67cbeaeb,sha256:a5934aaafcb4593f326a0a3505cebd4ae6067fd704754a94a2ba9252b824c8dc,human-authored/deterministic-map-v1,replay:sha256:351ad45ce868981e04839e47ec2604b742bf3d2f1f0943a90d38f04f56cd6fee,Intensive penalty in the community,Principal sentence,2022–23,10 Illicit drug offences,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_INTENSIVE_PENALTY_IN_THE_COMMUNITY,GROUP_PRINCIPAL_SENTENCE,2023-06-30,OFFENCE_11_WEAPONS_EXPLOSIVES,TAS,MAGISTRATES_COURTS,ANZSOC_2011,defendant-count,person,6,observed,6,sha256:b4b17c474bd69011e360b33c1312c8c85c677e0a5117e74097150beab40cd0a6,Table 50,R42C9,sha256:01ffdc170e886151057f4186b6eb92cd896703fa1679bf214cbada10286cfbc8,criminal-courts-australia,sha256:cce561be870d16f467eeb74be5cbcd192c71cde4b62bcac587b4f9480197a171,tidy.table-family-acceptance/v2,sha256:31bb6141d2b8451376926cbf42b45f256cb4185038fa44b61b624601e9d407ae,sha256:32c712f66dbbe5ed805610eb84ebfd0c62d011285bccbfd3a00539ea67cbeaeb,sha256:a5934aaafcb4593f326a0a3505cebd4ae6067fd704754a94a2ba9252b824c8dc,human-authored/deterministic-map-v1,replay:sha256:351ad45ce868981e04839e47ec2604b742bf3d2f1f0943a90d38f04f56cd6fee,Intensive penalty in the community,Principal sentence,2022–23,11 Weapons/ explosives,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_INTENSIVE_PENALTY_IN_THE_COMMUNITY,GROUP_PRINCIPAL_SENTENCE,2023-06-30,OFFENCE_12_PROPERTY_DAMAGE_AND_ENVIRONMENTAL_POLLUTION,TAS,MAGISTRATES_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:b4b17c474bd69011e360b33c1312c8c85c677e0a5117e74097150beab40cd0a6,Table 50,R42C10,sha256:01ffdc170e886151057f4186b6eb92cd896703fa1679bf214cbada10286cfbc8,criminal-courts-australia,sha256:cce561be870d16f467eeb74be5cbcd192c71cde4b62bcac587b4f9480197a171,tidy.table-family-acceptance/v2,sha256:31bb6141d2b8451376926cbf42b45f256cb4185038fa44b61b624601e9d407ae,sha256:32c712f66dbbe5ed805610eb84ebfd0c62d011285bccbfd3a00539ea67cbeaeb,sha256:a5934aaafcb4593f326a0a3505cebd4ae6067fd704754a94a2ba9252b824c8dc,human-authored/deterministic-map-v1,replay:sha256:351ad45ce868981e04839e47ec2604b742bf3d2f1f0943a90d38f04f56cd6fee,Intensive penalty in the community,Principal sentence,2022–23,12 Property damage & environmental pollution,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_INTENSIVE_PENALTY_IN_THE_COMMUNITY,GROUP_PRINCIPAL_SENTENCE,2023-06-30,OFFENCE_13_PUBLIC_ORDER_OFFENCES,TAS,MAGISTRATES_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:b4b17c474bd69011e360b33c1312c8c85c677e0a5117e74097150beab40cd0a6,Table 50,R42C11,sha256:01ffdc170e886151057f4186b6eb92cd896703fa1679bf214cbada10286cfbc8,criminal-courts-australia,sha256:cce561be870d16f467eeb74be5cbcd192c71cde4b62bcac587b4f9480197a171,tidy.table-family-acceptance/v2,sha256:31bb6141d2b8451376926cbf42b45f256cb4185038fa44b61b624601e9d407ae,sha256:32c712f66dbbe5ed805610eb84ebfd0c62d011285bccbfd3a00539ea67cbeaeb,sha256:a5934aaafcb4593f326a0a3505cebd4ae6067fd704754a94a2ba9252b824c8dc,human-authored/deterministic-map-v1,replay:sha256:351ad45ce868981e04839e47ec2604b742bf3d2f1f0943a90d38f04f56cd6fee,Intensive penalty in the community,Principal sentence,2022–23,13 Public order offences,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_INTENSIVE_PENALTY_IN_THE_COMMUNITY,GROUP_PRINCIPAL_SENTENCE,2023-06-30,OFFENCE_14_TRAFFIC_AND_VEHICLE_REGULATORY_OFFENCES,TAS,MAGISTRATES_COURTS,ANZSOC_2011,defendant-count,person,49,observed,49,sha256:b4b17c474bd69011e360b33c1312c8c85c677e0a5117e74097150beab40cd0a6,Table 50,R42C12,sha256:01ffdc170e886151057f4186b6eb92cd896703fa1679bf214cbada10286cfbc8,criminal-courts-australia,sha256:cce561be870d16f467eeb74be5cbcd192c71cde4b62bcac587b4f9480197a171,tidy.table-family-acceptance/v2,sha256:31bb6141d2b8451376926cbf42b45f256cb4185038fa44b61b624601e9d407ae,sha256:32c712f66dbbe5ed805610eb84ebfd0c62d011285bccbfd3a00539ea67cbeaeb,sha256:a5934aaafcb4593f326a0a3505cebd4ae6067fd704754a94a2ba9252b824c8dc,human-authored/deterministic-map-v1,replay:sha256:351ad45ce868981e04839e47ec2604b742bf3d2f1f0943a90d38f04f56cd6fee,Intensive penalty in the community,Principal sentence,2022–23,14 Traffic & vehicle regulatory offences,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_INTENSIVE_PENALTY_IN_THE_COMMUNITY,GROUP_PRINCIPAL_SENTENCE,2023-06-30,OFFENCE_15_OFFENCES_AGAINST_JUSTICE,TAS,MAGISTRATES_COURTS,ANZSOC_2011,defendant-count,person,4,observed,4,sha256:b4b17c474bd69011e360b33c1312c8c85c677e0a5117e74097150beab40cd0a6,Table 50,R42C13,sha256:01ffdc170e886151057f4186b6eb92cd896703fa1679bf214cbada10286cfbc8,criminal-courts-australia,sha256:cce561be870d16f467eeb74be5cbcd192c71cde4b62bcac587b4f9480197a171,tidy.table-family-acceptance/v2,sha256:31bb6141d2b8451376926cbf42b45f256cb4185038fa44b61b624601e9d407ae,sha256:32c712f66dbbe5ed805610eb84ebfd0c62d011285bccbfd3a00539ea67cbeaeb,sha256:a5934aaafcb4593f326a0a3505cebd4ae6067fd704754a94a2ba9252b824c8dc,human-authored/deterministic-map-v1,replay:sha256:351ad45ce868981e04839e47ec2604b742bf3d2f1f0943a90d38f04f56cd6fee,Intensive penalty in the community,Principal sentence,2022–23,15 Offences against justice(a),"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_INTENSIVE_PENALTY_IN_THE_COMMUNITY,GROUP_PRINCIPAL_SENTENCE,2023-06-30,OFFENCE_TOTAL,TAS,MAGISTRATES_COURTS,ANZSOC_2011,defendant-count,person,84,observed,84,sha256:b4b17c474bd69011e360b33c1312c8c85c677e0a5117e74097150beab40cd0a6,Table 50,R42C14,sha256:01ffdc170e886151057f4186b6eb92cd896703fa1679bf214cbada10286cfbc8,criminal-courts-australia,sha256:cce561be870d16f467eeb74be5cbcd192c71cde4b62bcac587b4f9480197a171,tidy.table-family-acceptance/v2,sha256:31bb6141d2b8451376926cbf42b45f256cb4185038fa44b61b624601e9d407ae,sha256:32c712f66dbbe5ed805610eb84ebfd0c62d011285bccbfd3a00539ea67cbeaeb,sha256:a5934aaafcb4593f326a0a3505cebd4ae6067fd704754a94a2ba9252b824c8dc,human-authored/deterministic-map-v1,replay:sha256:351ad45ce868981e04839e47ec2604b742bf3d2f1f0943a90d38f04f56cd6fee,Intensive penalty in the community,Principal sentence,2022–23,Total(b),"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_MODERATE_PENALTY_IN_THE_COMMUNITY,GROUP_PRINCIPAL_SENTENCE,2023-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,TAS,MAGISTRATES_COURTS,ANZSOC_2011,defendant-count,person,50,observed,50,sha256:b4b17c474bd69011e360b33c1312c8c85c677e0a5117e74097150beab40cd0a6,Table 50,R45C2,sha256:01ffdc170e886151057f4186b6eb92cd896703fa1679bf214cbada10286cfbc8,criminal-courts-australia,sha256:cce561be870d16f467eeb74be5cbcd192c71cde4b62bcac587b4f9480197a171,tidy.table-family-acceptance/v2,sha256:31bb6141d2b8451376926cbf42b45f256cb4185038fa44b61b624601e9d407ae,sha256:32c712f66dbbe5ed805610eb84ebfd0c62d011285bccbfd3a00539ea67cbeaeb,sha256:a5934aaafcb4593f326a0a3505cebd4ae6067fd704754a94a2ba9252b824c8dc,human-authored/deterministic-map-v1,replay:sha256:351ad45ce868981e04839e47ec2604b742bf3d2f1f0943a90d38f04f56cd6fee,Moderate penalty in the community,Principal sentence,2022–23,02 Acts intended to cause injury,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Tasmania, 2022–23 to 2023–24"
